siren,tva,nom,commune,code_postal,etat,tva_valide_vies
501822191,FR07501822191,ENZO (ENZO),MARSEILLE,13013,Active,
849654264,FR05849654264,ENZO,REIGNAC-SUR-INDRE,37310,Active,
490331386,FR34490331386,ENZO,ANGLET,64600,Active,
752488379,FR57752488379,ENZO,SAINT-PIERRE-D'OLERON,17310,Active,
923389498,FR20923389498,ENZO,PORT-DE-BOUC,13110,Active,
802999268,FR03802999268,ENZO (LE CALIXTE),LE GARN,30760,Active,
810221820,FR90810221820,ENZO,NANCY,54000,Active,
431254416,FR55431254416,ENZO,LA SEYNE-SUR-MER,83500,Active,
485233183,FR94485233183,ENZO,PARIS,75016,Active,
512588955,FR75512588955,ENZO,TOULON,83200,Active,
929572287,FR47929572287,ENZO,SAN-MARTINO-DI-LOTA,20200,Active,
799529342,FR71799529342,ENZO,BOURGES,18000,Active,
804500213,FR01804500213,ENZO,ALLASSAC,19240,Active,
978816288,FR80978816288,ENZO,SOGNY-AUX-MOULINS,51520,Active,
491940151,FR94491940151,ENZO,CAHORS,46000,Active,
848618013,FR05848618013,ENZO,LE RAINCY,93340,Active,
813022050,FR95813022050,ENZO,PERPIGNAN,66000,Active,
513118638,FR70513118638,ENZO,CELLETTES,41120,Active,
380649707,FR46380649707,ENZO,LA GARDE,83130,Active,
401193768,FR78401193768,ENZO,ANGERS,49100,Active,
401358932,FR94401358932,ENZO,NEUFLIZE,08300,Active,
394517858,FR35394517858,ENZO,BAZAS,33430,Active,
793220468,FR89793220468,ENZO,SISTERON,04200,Active,
797864667,FR91797864667,ENZO,LA TESTE-DE-BUCH,33260,Active,
791855638,FR66791855638,ENZO,ROMANS-SUR-ISERE,26100,Active,
799601836,FR79799601836,ENZO,AULNAY-SOUS-BOIS,93600,Active,
799629019,FR51799629019,ENZO,PARIS,75019,Active,
804133296,FR06804133296,ENZO,MOIRANS,38430,Active,
492473244,FR37492473244,ENZO,NIMES,30000,Active,
419360938,FR04419360938,ENZO,BERRE-L'ETANG,13130,Active,
789520848,FR66789520848,ENZO,VEXIN-SUR-EPTE,27510,Active,
822310744,FR17822310744,ENZO,PARIS,75010,Active,
384962429,FR61384962429,ENZO,PONTOISE,95300,Active,
411303001,FR48411303001,ENZO,ESPALION,12500,Active,
409798428,FR30409798428,ENZO,,,Active,
434748257,FR49434748257,ENZO,ANTIBES,06160,Active,
815001573,FR33815001573,ENZO,SOMAIN,59490,Active,
818855439,FR07818855439,ENZO,SAINT-MARTIN-DE-VALGALGUES,30520,Active,
793967977,FR73793967977,ENZO,LES BELLEVILLE,73440,Active,
793992009,FR01793992009,ENZO,PARIS,75011,Active,
794586842,FR88794586842,ENZO,RIVESALTES,66600,Active,
847761251,FR25847761251,ENZO,MONTAUROUX,83440,Active,
820777829,FR42820777829,ENZO,CHARMENTRAY,77410,Active,
894975663,FR78894975663,ENZO,MARSEILLE,13009,Active,
949477129,FR15949477129,ENZO,RICHEBOURG,62136,Active,
949586507,FR95949586507,ENZO,CUISY,77165,Active,
478407042,FR20478407042,ENZO,WITTELSHEIM,68310,Active,
479287385,FR30479287385,ENZO,HENIN-BEAUMONT,62110,Active,
479937013,FR87479937013,ENZO,GRENOBLE,38000,Active,
437654155,FR62437654155,ENZO,POULX,30320,Active,
449383751,FR63449383751,ENZO,ROUBAIX,59100,Active,
500411491,FR17500411491,ENZO,LES SORINIERES,44840,Active,
501107858,FR29501107858,ENZO,LE HOULME,76770,Active,
493216121,FR93493216121,ENZO,MANDELIEU-LA-NAPOULE,06210,Active,
497571240,FR35497571240,ENZO,TRESSERVE,73100,Active,
488460064,FR40488460064,ENZO,LA FARE-LES-OLIVIERS,13580,Active,
490231909,FR72490231909,ENZO,LE PRE-SAINT-GERVAIS,93310,Active,
490344561,FR80490344561,ENZO,CARROS,06510,Active,
490721560,FR57490721560,ENZO,PONT-L'ABBE,29120,Active,
483519468,FR46483519468,ENZO,LA ROCHELLE,17000,Active,
452957137,FR72452957137,ENZO,CORBEIL-ESSONNES,91100,Active,
510849631,FR24510849631,ENZO,LE PERREUX-SUR-MARNE,94170,Active,
514081488,FR57514081488,ENZO (LE COURTOISVILLE),SAINT-MALO,35400,Active,
527645139,FR92527645139,ENZO,SAINTE-MAXIME,83120,Active,
521919423,FR92521919423,ENZO,GIDY,45520,Active,
502547706,FR66502547706,ENZO,SAINT-JEAN,31240,Active,
533905519,FR92533905519,ENZO,SELLES-SUR-CHER,41130,Active,
534761101,FR24534761101,ENZO,AUGNY,57685,Active,
537960254,FR12537960254,ENZO,JOUE-LES-TOURS,37300,Active,
539450817,FR01539450817,ENZO,HAGUENAU,67500,Active,
751078270,FR94751078270,ENZO (ISTANBUL),VILLENEUVE-D'ASCQ,59650,Active,
835008707,FR66835008707,ENZO,PARIS,75020,Active,
832285225,FR27832285225,ENZO,PARIS,75003,Active,
833307226,FR54833307226,ENZO,CHARLY,69390,Active,
835187733,FR55835187733,ENZO,PARIS,75014,Active,
888780731,FR94888780731,ENZO,BORDEAUX,33000,Active,
851811125,FR09851811125,ENZO,ALLOS,04260,Active,
829028414,FR16829028414,ENZO (BAR DES SPORTS),THAON-LES-VOSGES,88150,Active,
909942393,FR35909942393,ENZO,FORT DE FRANCE,97200,Active,
932589179,FR41932589179,ENZO,VINON-SUR-VERDON,83560,Active,
980073902,FR10980073902,ENZO (AUTO ENZO 95) (AUTO ENZO 95),GOUSSAINVILLE,95190,Active,
493284475,FR00493284475,ENZO,EPARGNES,17120,Active,
908965171,FR00908965171,ENZO,LUXE,16230,Active,
894365964,FR13894365964,ENZO,BONDY,93140,Active,
483593463,FR95483593463,ENZO,PERPIGNAN,66000,Active,
793607821,FR88793607821,ENZO,SAVIGNY-SUR-ORGE,91600,Active,
789931565,FR26789931565,ENZO,FONTENAY-LE-FLEURY,78330,Active,
797501509,FR24797501509,ENZO,MARSEILLE,13002,Active,
797540986,FR18797540986,ENZO,AUBERVILLIERS,93300,Active,
798664041,FR82798664041,ENZO,PARIS,75015,Active,
790558605,FR25790558605,ENZO,DRAP,06340,Active,
790729107,FR50790729107,ENZO,CAVAILLON,84300,Active,
791828684,FR05791828684,ENZO,AGDE,34300,Active,
810442103,FR78810442103,ENZO,BRACH,33480,Active,
810510875,FR75810510875,ENZO,SOUMOULOU,64420,Active,
413584830,FR51413584830,ENZO,PARIS,75012,Active,
437642127,FR62437642127,ENZO,SAINT-MAUR-DES-FOSSES,94210,Active,
504678095,FR00504678095,ENZO,MANDRES-AUX-QUATRE-TOURS,54470,Active,
491606059,FR22491606059,ENZO,MARSEILLE,13006,Active,
820387579,FR82820387579,ENZO,BERGHOLTZ,68500,Active,
